bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1950147,2162,SR9,4,Passed,2025-02-04,"Celebrating Black History Month During The Month Of February 2025.","Celebrating Black History Month During The Month Of February 2025.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR9/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr9&ddBienniumSession=2025%2F2025R
1952774,2162,SR10,4,Passed,2025-02-05,"To Honor, On February 5, 2025, The Sesquicentennial Of The Founding Of The City Of Osceola.","To Honor, On February 5, 2025, The Sesquicentennial Of The Founding Of The City Of Osceola.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR10/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr10&ddBienniumSession=2025%2F2025R
1956293,2162,SR11,4,Passed,2025-02-06,"To Commemorate The 100th Anniversary On February 13, 2025, Of The Robert W. Jack Veterans Of Foreign Wars Post 1322 In The City Of Van Buren, The Oldest Veterans Of Foreign Wars Post In Arkansas.","To Commemorate The 100th Anniversary On February 13, 2025, Of The Robert W. Jack Veterans Of Foreign Wars Post 1322 In The City Of Van Buren, The Oldest Veterans Of Foreign Wars Post In Arkansas.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR11/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr11&ddBienniumSession=2025%2F2025R
1956485,2162,SR12,4,Passed,2025-02-10,"To Commend Retired Member Of The Board Of Directors Of The Arkansas Rural Endowment Fund, Inc., Chris Lampkin; And To Approve And Confirm The Appointment To The Board Of The Honorable S. Reid Harrod, Jr.","To Commend Retired Member Of The Board Of Directors Of The Arkansas Rural Endowment Fund, Inc., Chris Lampkin; And To Approve And Confirm The Appointment To The Board Of The Honorable S. Reid Harrod, Jr.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR12/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr12&ddBienniumSession=2025%2F2025R
1957006,2162,SR13,4,Passed,2025-02-12,"To Recognize The Bryant Hornets Football Team As The Class 7a State Champions.","To Recognize The Bryant Hornets Football Team As The Class 7a State Champions.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR13/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr13&ddBienniumSession=2025%2F2025R
1957482,2162,SR14,4,Passed,2025-02-13,"To Recognize February 9-15, 2025, As Eureka Springs Fbla Week.","To Recognize February 9-15, 2025, As Eureka Springs Fbla Week.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR14/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr14&ddBienniumSession=2025%2F2025R
1956829,2162,SR15,4,Passed,2025-02-19,"To Honor Retired Director Of The Arkansas Department Of Transportation Lorie Tudor For Her Forty-one Years Of Service To The Department And To The People Of The State Of Arkansas, And To Congratulate Her On Her Retirement.","To Honor Retired Director Of The Arkansas Department Of Transportation Lorie Tudor For Her Forty-one Years Of Service To The Department And To The People Of The State Of Arkansas, And To Congratulate Her On Her Retirement.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR15/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr15&ddBienniumSession=2025%2F2025R
1957308,2162,SR16,4,Passed,2025-02-11,"To Designate The Month Of February As National Children&#x27;s Dental Health Month.","To Designate The Month Of February As National Children&#x27;s Dental Health Month.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR16/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr16&ddBienniumSession=2025%2F2025R
1958307,2162,SR17,4,Passed,2025-02-10,"To Honor 2024 Miss Arkansas&#x27; Teen Bella Crowe.","To Honor 2024 Miss Arkansas&#x27; Teen Bella Crowe.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR17/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr17&ddBienniumSession=2025%2F2025R
1963379,2162,SR18,4,Passed,2025-02-10,"To Honor Miss Arkansas 2024 Camille Cathey.","To Honor Miss Arkansas 2024 Camille Cathey.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR18/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr18&ddBienniumSession=2025%2F2025R
1963771,2162,SR19,4,Passed,2025-02-12,"To Recognize The University Of Arkansas At Fayetteville Razorbacks Women&#x27;s Soccer Team For Their Achievements In 2024.","To Recognize The University Of Arkansas At Fayetteville Razorbacks Women&#x27;s Soccer Team For Their Achievements In 2024.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR19/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr19&ddBienniumSession=2025%2F2025R
1964993,2162,SR20,4,Passed,2025-04-02,"To Commend The Maumelle Charter High School Falcons Boys&#x27; Cross Country Team For Winning The 2024 Class 3a State Championship.","To Commend The Maumelle Charter High School Falcons Boys&#x27; Cross Country Team For Winning The 2024 Class 3a State Championship.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR20/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr20&ddBienniumSession=2025%2F2025R
1964822,2162,SR21,4,Passed,2025-04-02,"To Commend The Maumelle Charter High School Falcons Boys&#x27; Golf Team For Winning The 2024 Class 3a State Championship.","To Commend The Maumelle Charter High School Falcons Boys&#x27; Golf Team For Winning The 2024 Class 3a State Championship.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR21/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr21&ddBienniumSession=2025%2F2025R
1964951,2162,SR22,4,Passed,2025-02-25,"To Commend Alpha Kappa Alpha Sorority, Incorporated&#xae;, For Its Contributions To The Community And To Designate February 25, 2025, As Alpha Kappa Alpha Day At The State Capitol.","To Commend Alpha Kappa Alpha Sorority, Incorporated&#xae;, For Its Contributions To The Community And To Designate February 25, 2025, As Alpha Kappa Alpha Day At The State Capitol.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR22/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr22&ddBienniumSession=2025%2F2025R
1966504,2162,SR23,4,Passed,2025-02-25,"To Recognize February 15-22, 2025, As National Ffa Week.","To Recognize February 15-22, 2025, As National Ffa Week.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR23/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr23&ddBienniumSession=2025%2F2025R
1968356,2162,SR24,4,Passed,2025-02-25,"To Recognize The Arkansas Council For Military Children For Its Contributions To And Successes In Serving Military Families In Arkansas.","To Recognize The Arkansas Council For Military Children For Its Contributions To And Successes In Serving Military Families In Arkansas.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR24/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr24&ddBienniumSession=2025%2F2025R
1969028,2162,SR25,4,Passed,2025-03-11,"To Recognize And Celebrate Nucor Day At The State Capitol On February 19, 2025.","To Recognize And Celebrate Nucor Day At The State Capitol On February 19, 2025.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR25/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr25&ddBienniumSession=2025%2F2025R
1973938,2162,SR26,4,Passed,2025-02-20,"To Authorize Recesses Of Either Or Both Chambers For Periods Of Four Consecutive Days Or Longer.","To Authorize Recesses Of Either Or Both Chambers For Periods Of Four Consecutive Days Or Longer.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR26/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr26&ddBienniumSession=2025%2F2025R
1975289,2162,SR27,4,Passed,2025-02-25,"Commending Arkansas Farmers, Ranchers, And Foresters For Their Vital Contributions To The Security And Economic Well-being Of The State Of Arkansas And The Nation.","Commending Arkansas Farmers, Ranchers, And Foresters For Their Vital Contributions To The Security And Economic Well-being Of The State Of Arkansas And The Nation.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR27/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr27&ddBienniumSession=2025%2F2025R
1977645,2162,SR28,4,Passed,2025-02-24,"To Recognize And Honor Zeta Phi Beta Sorority, Incorporated For Its Contributions To Its Communities, The State Of Arkansas, The Nation, And The World.","To Recognize And Honor Zeta Phi Beta Sorority, Incorporated For Its Contributions To Its Communities, The State Of Arkansas, The Nation, And The World.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR28/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr28&ddBienniumSession=2025%2F2025R
1977688,2162,SR29,4,Passed,2025-02-24,"To Recognize And Honor Phi Beta Sigma Fraternity, Inc., For Its Contributions To Its Communities, The State Of Arkansas, The Nation, And The World.","To Recognize And Honor Phi Beta Sigma Fraternity, Inc., For Its Contributions To Its Communities, The State Of Arkansas, The Nation, And The World.",0,,2025-05-05,"Sine Die adjournment",https://legiscan.com/AR/bill/SR29/2025,https://arkleg.state.ar.us/Bills/Detail?id=sr29&ddBienniumSession=2025%2F2025R
